,,,,,,,,,,,,,,,
TYPOGRAPHIES,,,,,,,,,,,,,,,
BBB Open Sans,,,,,,,,,,,,,,,
8,Accompagné/Accompagnée,Substantif,é/ée,Accompagnḙ́ẹ,ḙ́ẹ,Accompagné,a.kɔ̃.pa.ɲe,Accompagné,a.kɔ̃.pa.ɲe,Accompagné,a.kɔ̃.pa.ɲe,Accompagné,a.kɔ̃.pa.ɲe,Accompagnéeu,a.kɔ̃.pa.ɲe.ø
9,Sa/Son,Déterminant possessif,Invariable,Sạo̭n,Invariable,Saon,sa.ɔ̃,Saon,sa.ɔ̃,Saon,sa.ɔ̃,Saon,sa.ɔ̃,Saon,sa.ɔ̃
10,Amant/Amante,Substantif,ant/ante,Amanṱẹ,anṱẹ,Amante,a.mɑ̃t,Amante,a.mɑ̃t,Amante,a.mɑ̃t,Amante,a.mɑ̃t,Amante,a.mɑ̃t
11,Ancien/Ancienne,Substantif,en/enne,Ancieṋṇe,eṋṇe,Ancienne,ɑ̃.sjɛn,Ancienne,ɑ̃.sjɛn,Ancienne,ɑ̃.sjɛn,Ancienne,ɑ̃.sjɛn,Ancienne,ɑ̃.sjɛn
12,Pâtissier/Pâtissière,Substantif,ier/ière,Pâtissier̭ẹ̀re ,ier̭ẹ̀re ,Pâtissière,pa.ti.sjɛʁ,Pâtissièrère ,pa.ti.sjɛ.ʁɛʁ,Pâtissièrère ,pa.ti.sjɛ.ʁɛʁ,Pâtissièrère ,pa.ti.sjɛ.ʁɛʁ,Pâtissière,pa.ti.sjɛʁ
13,Reconverti/Reconvertie,Substantif,i/ie,Reconverti̭ẹ,i̭ẹ,Reconverti,ʁə.kɔ̃.vɛʁ.ti,Reconverti,ʁə.kɔ̃.vɛʁ.ti,Reconverti,ʁə.kɔ̃.vɛʁ.ti,Reconverti,ʁə.kɔ̃.vɛʁ.ti,Reconverti,ʁə.kɔ̃.vɛʁ.ti
,,,,,,p1_pc_bbb-open-sans_diacritique_ep2,,p2_sc_bbb-open-sans_diacritique_ep2,,p4_eb_bbb-open-sans_diacritique_ep2,,p5_zm_bbb-open-sans_diacritique_ep2,,p6_nc_bbb-open-sans_diacritique_ep2,
BBB Read Me,,,,,,,,,,,,,,,
Diacritiques,,,,,,P1 - PC,,P2 - SC,,P4 - EB,,P5 – ZM,,P6 – NC,
,Mot original,Déterminant,Terminaison,Mot post-binaire,Terminaison,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API,Mot entendu,Phonétique API
"Dorothy Allison, Bastard out of Carolina",,,,,,,,,,,,,,,
1,Mon/Ma,Déterminant possessif,Invariable,Mạo̭n,Invariable,Maon,ma.ɔ̃,Maon,ma.ɔ̃,Maon,ma.ɔ̃,Maon,ma.ɔ̃,Maon,ma.ɔ̃
2,Oncle/Tante,Titre,Invariable,Ṭanc̭le,Invariable,Tancle,tɑ̃kl,Tancle,tɑ̃kl,Tancle,tɑ̃kl,Tancle,tɑ̃kl,Tancle,tɑ̃kl
3,Un/Une,Article indéfini,Invariable,Uṋẹ,Invariable,Une,yn,Une,yn,Une,yn,Une,yn,Une,yn
4,Général/Générale,Substantif,al/ale ,Généraḽẹ,aḽẹ,Générale,ʒe.ne.ʁal,Générale,ʒe.ne.ʁal,Générale,ʒe.ne.ʁal,Générale,ʒe.ne.ʁal,Générale,ʒe.ne.ʁal
5,Lui/Elle,Pronom personnel COI,Invariable,Eḷḽui,Invariable,Èllui,ɛ.lɥi,Èllui,ɛ.lɥi,Èllui,ɛ.lɥi,Èllui,ɛ.lɥi,Èllui,ɛ.lɥi
6,Il/Elle,Pronom personnel sujet,Invariable,I̭ẹl,Invariable,Ièl,jɛl,Ièl,jɛl,Ièl,jɛl,Ièl,jɛl,Ièl,jɛl
7,Humain/Humaine,Substantif,ain/aine,Huma̭inẹ ,a̭inẹ ,Humaine,y.mɛn,Humaine,y.mɛn,Humaine,y.mɛn,Humaine,y.mɛn,Humaine,y.mɛn
8,Fort/Forte,Substantif,ort/orte,Forṱẹ ,orṱẹ ,Forte,fɔʁt,Forte,fɔʁt,Forte,fɔʁt,Forte,fɔʁt,Forte,fɔʁt
9,Cet/Cette,Déterminant démonstratif,Invariable,Ceṱtẹ ,Invariable,Cette,sɛt,Cette,sɛt,Cette,sɛt,Cette,sɛt,Cette,sɛt
,,,,,,p1_pc_bbb-readme_diacritique_da,,p2_sc_bbb-readme_diacritique_da,,p4_eb_bbb-readme_diacritique_da,,p5_zm_bbb-readme_diacritique_da,,p6_nc_bbb-readme_diacritique_da,
Exercice de prononciation 1,,,,,,,,,,,,,,,
1,Un/Une,Article indéfini,Invariable,Uṋẹ,Invariable,Une,yn,Une,yn,Une,yn,Une,yn,Une,yn
2,Pâtissier/Pâtissière,Substantif,ier/ière,Pâtissier̭ẹ̀re,ier̭ẹ̀re,Pâtissière ,pa.ti.sjɛʁ,Pâtissièrère ,pa.ti.sjɛ.ʁɛʁ,Pâtissièrère ,pa.ti.sjɛ.ʁɛʁ,Pâtissièrère ,pa.ti.sjɛ.ʁɛʁ,Pâtissière ,pa.ti.sjɛʁ
3,Tapissier/Tapissière,Substantif,ier/ière,Tapissier̭ẹ̀re,ier̭ẹ̀re,Tapissière,ta.ti.sjɛʁ,Tapissièrère,ta.pi.sjɛ.ʁɛʁ,Tapissièreu,ta.ti.sjɛʁ.ø,Tapissièrère,ta.pi.sjɛ.ʁɛʁ,Tapissière,ta.ti.sjɛʁ
4,La/Le,Pronom personnel COD,Invariable,Lạḙ,Invariable,Laeu,la.ø,Laeu,la.ø,Lale,Lal..ø,Laeu,la.ø,Laeu,la.ø
,,,,,,p1_pc_bbb-readme_diacritique_ep1,,p2_sc_bbb-readme_diacritique_ep1,,p4_eb_bbb-readme_diacritique_ep1,,p5_zm_bbb-readme_diacritique_ep1,,p6_nc_bbb-readme_diacritique_ep1,
Exercice de prononciation 2,,,,,,,,,,,,,,,
1,La/Le,Pronom personnel COD,Invariable,Lạḙ,Invariable,Laeu,la.ø,Laeu,la.ø,Laeu,la.ø,Laeu,la.ø,Laeu,la.ø
2,Chef/Cheffe,Substantif,ef/effe,Chef̭f̣e,ef̭f̣e,Chef,ʃɛf,Chef,ʃɛf,Cheffeu,ʃɛf.ø,Cheffeu,ʃɛf.ø,Cheffeu,ʃɛf.ø
